W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw,season,win,draw,loss,points,win_pct,for,against,streak
18.0,0.0,6.0,54.0,0.75,10.0,,,8 (W),TAAco Bell,1,24,14,,,,,,,,
17.0,0.0,7.0,51.0,0.708,9.0,,,1 (L),Cheasle FC,2,24,14,,,,,,,,
13.0,0.0,11.0,39.0,0.542,1.0,,,2 (W),New Zac on the Block,3,24,14,,,,,,,,
13.0,0.0,11.0,39.0,0.542,8.0,,,5 (L),HappyHaalandays,4,24,14,,,,,,,,
13.0,0.0,11.0,39.0,0.542,3.0,,,2 (L),Thottenham Hotsluts,5,24,14,,,,,,,,
12.0,0.0,12.0,36.0,0.5,2.0,,,1 (L),RATABE,6,24,14,,,,,,,,
11.0,0.0,13.0,33.0,0.458,5.0,,,3 (L),Benford FC,7,24,14,,,,,,,,
10.0,0.0,14.0,30.0,0.417,7.0,,,4 (W),Concept of a FPLan,8,24,14,,,,,,,,
8.0,0.0,16.0,24.0,0.333,4.0,,,1 (W),Seanhampton,9,24,14,,,,,,,,
5.0,0.0,19.0,15.0,0.208,6.0,,,1 (W),Magpies United,10,24,14,,,,,,,,
19.0,0.0,6.0,57.0,0.76,10.0,,,9 (W),TAAco Bell,1,25,14,,,,,,,,
17.0,0.0,8.0,51.0,0.68,9.0,,,2 (L),Cheasle FC,2,25,14,,,,,,,,
14.0,0.0,11.0,42.0,0.56,1.0,,,3 (W),New Zac on the Block,3,25,14,,,,,,,,
14.0,0.0,11.0,42.0,0.56,8.0,,,1 (W),HappyHaalandays,4,25,14,,,,,,,,
13.0,0.0,12.0,39.0,0.52,3.0,,,3 (L),Thottenham Hotsluts,5,25,14,,,,,,,,
12.0,0.0,13.0,36.0,0.48,2.0,,,2 (L),RATABE,6,25,14,,,,,,,,
11.0,0.0,14.0,33.0,0.44,5.0,,,4 (L),Benford FC,7,25,14,,,,,,,,
10.0,0.0,15.0,30.0,0.4,7.0,,,1 (L),Concept of a FPLan,8,25,14,,,,,,,,
